Season,Name,Team,W,L,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR,y
2015,Clayton Kershaw,Dodgers,16,7,33,33,232.2,11.64,1.62,0.58,0.281,0.783,0.5,0.101,2.13,1.99,2.09,8.5,0
2011,Roy Halladay,Phillies,19,6,32,32,233.2,8.47,1.35,0.39,0.298,0.781,0.509,0.051,2.35,2.2,2.71,8.3,0
2009,Tim Lincecum,Giants,15,7,32,32,225.1,10.42,2.72,0.4,0.282,0.759,0.475,0.055,2.48,2.34,2.83,7.7,1
2014,Clayton Kershaw,Dodgers,21,3,27,27,198.1,10.85,1.41,0.41,0.278,0.816,0.518,0.066,1.77,1.81,2.08,7.6,1
2015,Jake Arrieta,Cubs,22,6,33,33,229,9.28,1.89,0.39,0.246,0.8,0.562,0.078,1.77,2.35,2.61,7.3,1
2008,Tim Lincecum,Giants,17,5,33,33,223,10.53,3.23,0.44,0.303,0.776,0.438,0.057,2.62,2.59,3.08,7.1,1
2011,Clayton Kershaw,Dodgers,21,5,33,33,233.1,9.57,2.08,0.58,0.269,0.786,0.432,0.067,2.28,2.47,2.84,7.1,1
2013,Clayton Kershaw,Dodgers,16,9,33,33,236,8.85,1.98,0.42,0.251,0.806,0.46,0.058,1.83,2.39,2.88,7.1,1
2011,Cliff Lee,Phillies,17,8,32,32,232.2,9.21,1.62,0.7,0.291,0.814,0.463,0.09,2.4,2.6,2.68,6.8,0
2007,Jake Peavy,Padres,19,6,34,34,223.1,9.67,2.74,0.52,0.273,0.783,0.44,0.058,2.54,2.84,3.34,6.7,1
2013,Adam Wainwright,Cardinals,19,9,34,34,241.2,8.16,1.3,0.56,0.305,0.745,0.491,0.081,2.94,2.55,2.8,6.6,0
2013,Matt Harvey,Mets,9,5,26,26,178.1,9.64,1.56,0.35,0.28,0.774,0.477,0.047,2.27,2,2.63,6.5,0
2009,Javier Vazquez,Braves,15,10,32,32,219.1,9.77,1.81,0.82,0.283,0.766,0.417,0.101,2.87,2.77,2.77,6.5,0
2015,Max Scherzer,Nationals,14,12,33,33,228.2,10.86,1.34,1.06,0.268,0.796,0.358,0.105,2.79,2.77,2.88,6.4,0
2016,Noah Syndergaard,Mets,14,9,30,30,182.2,10.64,2.12,0.54,0.335,0.769,0.512,0.087,2.61,2.3,2.68,6.3,0
2007,Brandon Webb,Diamondbacks,18,10,34,34,236.1,7.39,2.74,0.46,0.285,0.724,0.618,0.088,3.01,3.24,3.3,6.2,0
2016,Jose Fernandez,Marlins,16,8,29,29,182.1,12.49,2.71,0.64,0.332,0.766,0.402,0.1,2.86,2.3,2.56,6.2,0
2008,Dan Haren,Diamondbacks,16,8,33,33,216,8.58,1.67,0.79,0.303,0.734,0.442,0.089,3.33,3.01,3.16,6.2,0
2017,Max Scherzer,Nationals,16,6,31,31,200.2,12.02,2.47,0.99,0.245,0.807,0.365,0.108,2.51,2.9,3.28,6.1,1
2010,Roy Halladay,Phillies,21,10,33,33,250.2,7.86,1.08,0.86,0.29,0.827,0.512,0.113,2.44,3.01,2.8,6.1,1
2010,Josh Johnson,Marlins,11,6,28,28,183.2,9.11,2.35,0.34,0.297,0.792,0.457,0.042,2.3,2.41,3.02,5.9,0
2010,Ubaldo Jimenez,Rockies,19,8,33,33,221.2,8.69,3.74,0.41,0.271,0.765,0.488,0.051,2.88,3.1,3.6,5.9,0
2012,Clayton Kershaw,Dodgers,14,9,33,33,227.2,9.05,2.49,0.63,0.262,0.779,0.469,0.081,2.53,2.89,3.25,5.9,0
2015,Zack Greinke,Dodgers,19,3,32,32,222.2,8.08,1.62,0.57,0.229,0.865,0.48,0.073,1.66,2.76,3.22,5.8,0
2016,Max Scherzer,Nationals,20,7,34,34,228.1,11.19,2.21,1.22,0.255,0.817,0.33,0.119,2.96,3.24,3.37,5.7,1
2009,Adam Wainwright,Cardinals,19,8,34,34,233,8.19,2.55,0.66,0.296,0.804,0.507,0.083,2.63,3.11,3.32,5.7,0
2017,Stephen Strasburg,Nationals,15,4,28,28,175.1,10.47,2.41,0.67,0.274,0.779,0.468,0.087,2.52,2.72,3.27,5.7,0
2010,Adam Wainwright,Cardinals,20,11,33,33,230.1,8.32,2.19,0.59,0.275,0.791,0.516,0.079,2.42,2.86,3.02,5.6,0
2009,Dan Haren,Diamondbacks,14,10,33,33,229.1,8.75,1.49,1.06,0.267,0.77,0.429,0.117,3.14,3.23,3.02,5.6,0
2015,Gerrit Cole,Pirates,19,8,32,32,208,8.74,1.9,0.48,0.304,0.749,0.48,0.065,2.6,2.66,3.16,5.5,0
2008,Brandon Webb,Diamondbacks,22,7,34,34,226.2,7.27,2.58,0.52,0.288,0.71,0.644,0.096,3.3,3.28,3.33,5.5,0
2013,Cliff Lee,Phillies,14,8,31,31,222.2,8.97,1.29,0.89,0.287,0.767,0.443,0.109,2.87,2.82,2.78,5.5,0
2007,John Smoltz,Braves,14,8,32,32,205.2,8.62,2.06,0.79,0.303,0.762,0.447,0.087,3.11,3.21,3.33,5.5,0
2009,Chris Carpenter,Cardinals,17,4,28,28,192.2,6.73,1.78,0.33,0.269,0.795,0.55,0.046,2.24,2.78,3.34,5.5,0
2009,Josh Johnson,Marlins,15,5,33,33,209,8.22,2.5,0.6,0.29,0.749,0.503,0.075,3.23,3.06,3.36,5.5,0
2016,Johnny Cueto,Giants,18,5,32,32,219.2,8.11,1.84,0.61,0.293,0.78,0.502,0.084,2.79,2.96,3.42,5.5,0
2007,Aaron Harang,Reds,16,6,34,34,231.2,8.47,2.02,1.09,0.288,0.74,0.403,0.102,3.73,3.71,3.62,5.4,0
2009,Ubaldo Jimenez,Rockies,15,12,33,33,218,8.17,3.51,0.54,0.28,0.735,0.525,0.078,3.47,3.36,3.59,5.3,0
2014,Jordan Zimmermann,Nationals,14,5,32,32,199.2,8.2,1.31,0.59,0.302,0.758,0.401,0.064,2.66,2.68,3.1,5.3,0
2008,Johan Santana,Mets,16,7,34,34,234.1,7.91,2.42,0.88,0.274,0.826,0.412,0.094,2.53,3.51,3.61,5.3,0
2015,Madison Bumgarner,Giants,18,9,32,32,218.1,9.65,1.61,0.87,0.282,0.779,0.417,0.102,2.93,2.87,3.02,5.2,0
2015,Jacob deGrom,Mets,14,8,30,30,191,9.66,1.79,0.75,0.271,0.78,0.444,0.095,2.54,2.7,2.92,5.2,0
2012,R.A. Dickey,Mets,20,6,33,33,232.2,8.9,2.09,0.89,0.276,0.802,0.46,0.109,2.67,3.22,3.26,5.1,1
2017,Zack Greinke,Diamondbacks,17,7,32,32,202.1,9.56,2,1.11,0.285,0.753,0.468,0.134,3.2,3.31,3.34,5.1,0
2012,Cliff Lee,Phillies,6,9,30,30,211,8.83,1.19,1.11,0.309,0.786,0.45,0.118,3.16,3.13,3.06,5,0
2011,Matt Cain,Giants,12,11,33,33,221.2,7.27,2.56,0.37,0.26,0.706,0.417,0.037,2.88,2.91,3.78,5,0
2015,Jon Lester,Cubs,11,12,32,32,205,9.09,2.06,0.7,0.303,0.718,0.489,0.099,3.34,2.92,3.06,5,0
2012,Gio Gonzalez,Nationals,21,8,32,32,199.1,9.35,3.43,0.41,0.267,0.741,0.482,0.058,2.89,2.82,3.38,5,0
2011,Cole Hamels,Phillies,14,9,31,31,213,8.15,1.86,0.76,0.254,0.784,0.519,0.095,2.75,3,3.02,4.9,0
2007,Roy Oswalt,Astros,14,7,32,32,211.2,6.55,2.55,0.6,0.307,0.775,0.53,0.067,3.19,3.59,3.97,4.9,0
2011,Madison Bumgarner,Giants,13,13,33,33,204.2,8.4,2.02,0.53,0.322,0.724,0.46,0.062,3.21,2.67,3.1,4.9,0
2016,Madison Bumgarner,Giants,15,9,34,34,226.2,9.97,2.14,1.03,0.265,0.791,0.396,0.107,2.74,3.24,3.54,4.9,0
2014,Adam Wainwright,Cardinals,20,9,32,32,227,7.1,1.98,0.4,0.267,0.78,0.463,0.053,2.38,2.88,3.34,4.9,0
2007,Tim Hudson,Braves,16,10,34,34,224.1,5.3,2.13,0.4,0.292,0.728,0.62,0.065,3.33,3.46,3.74,4.9,0
2011,Matt Garza,Cubs,10,10,31,31,198,8.95,2.86,0.64,0.306,0.697,0.463,0.077,3.32,2.95,3.19,4.9,0
2017,Jimmy Nelson,Brewers,12,6,29,29,175.1,10.21,2.46,0.82,0.34,0.744,0.503,0.126,3.49,3.05,3.15,4.8,0
2008,Derek Lowe,Dodgers,14,11,34,34,211,6.27,1.92,0.6,0.28,0.708,0.603,0.095,3.24,3.26,3.32,4.8,0
2013,Mat Latos,Reds,14,7,32,32,210.2,7.99,2.48,0.6,0.299,0.746,0.451,0.069,3.16,3.1,3.56,4.8,0
2011,Chris Carpenter,Cardinals,11,9,34,34,237.1,7.24,2.09,0.61,0.312,0.732,0.466,0.075,3.45,3.06,3.31,4.8,0
2011,Ian Kennedy,Diamondbacks,21,4,33,33,222,8.03,2.23,0.77,0.27,0.792,0.386,0.077,2.88,3.22,3.5,4.8,0
2008,Cole Hamels,Phillies,14,10,33,33,227.1,7.76,2.1,1.11,0.259,0.76,0.395,0.112,3.09,3.72,3.58,4.8,0
2010,Clayton Kershaw,Dodgers,13,10,32,32,204.1,9.34,3.57,0.57,0.275,0.762,0.401,0.058,2.91,3.12,3.64,4.7,0
2008,Ben Sheets,Brewers,13,9,31,31,198.1,7.17,2.13,0.77,0.278,0.755,0.406,0.07,3.09,3.38,3.88,4.7,0
2012,Johnny Cueto,Reds,19,9,33,33,217,7.05,2.03,0.62,0.296,0.788,0.489,0.079,2.78,3.27,3.65,4.7,0
2008,Ryan Dempster,Cubs,17,6,33,33,206.2,8.14,3.31,0.61,0.28,0.767,0.481,0.077,2.96,3.41,3.69,4.7,0
2011,Daniel Hudson,Diamondbacks,16,12,33,33,222,6.85,2.03,0.69,0.295,0.705,0.417,0.064,3.49,3.28,3.79,4.6,0
2017,Clayton Kershaw,Dodgers,18,4,27,27,175,10.39,1.54,1.18,0.267,0.874,0.479,0.159,2.31,3.07,2.84,4.6,0
2009,Joel Pineiro,Cardinals,15,12,32,32,214,4.42,1.14,0.46,0.29,0.669,0.605,0.065,3.49,3.27,3.64,4.6,0
2014,Johnny Cueto,Reds,20,9,34,34,243.2,8.94,2.4,0.81,0.238,0.825,0.462,0.103,2.25,3.3,3.21,4.6,0
2012,Cole Hamels,Phillies,17,6,31,31,215.1,9.03,2.17,1,0.29,0.781,0.434,0.119,3.05,3.3,3.23,4.6,0
2010,Yovani Gallardo,Brewers,14,7,31,31,185,9.73,3.65,0.58,0.324,0.698,0.43,0.071,3.84,3.02,3.29,4.6,0
2013,Cole Hamels,Phillies,8,14,33,33,220,8.26,2.05,0.86,0.295,0.725,0.427,0.091,3.6,3.26,3.44,4.5,0
2014,Stephen Strasburg,Nationals,14,11,34,34,215,10.13,1.8,0.96,0.315,0.748,0.459,0.131,3.14,2.94,2.56,4.5,0
2016,Kyle Hendricks,Cubs,16,8,30,30,188,8.09,2.06,0.72,0.252,0.814,0.487,0.096,2.15,3.2,3.55,4.4,0
2007,Brad Penny,Dodgers,16,4,33,33,208,5.84,3.16,0.39,0.295,0.764,0.487,0.047,3.03,3.63,4.23,4.4,0
2008,Aaron Cook,Rockies,16,9,32,32,211.1,4.09,2.04,0.55,0.308,0.689,0.559,0.076,3.96,3.76,4.02,4.4,0
2008,Edinson Volquez,Reds,17,5,32,32,194.1,9.45,4.26,0.6,0.302,0.76,0.463,0.076,3.24,3.54,3.83,4.4,0
2010,Roy Oswalt,- - -,13,13,32,32,210.2,8.2,2.35,0.81,0.251,0.781,0.454,0.091,2.73,3.28,3.32,4.4,0
2015,Matt Harvey,Mets,13,8,29,29,189.1,8.94,1.76,0.86,0.272,0.787,0.46,0.098,2.71,3.05,3.24,4.4,0
2010,Mat Latos,Padres,14,10,31,31,184.2,9.21,2.44,0.78,0.273,0.774,0.447,0.08,2.92,3,3.21,4.3,0
2015,Tyson Ross,Padres,10,12,33,33,196,9.73,3.86,0.41,0.32,0.74,0.615,0.088,3.26,2.98,3.15,4.3,0
2016,Jon Lester,Cubs,19,5,32,32,202.2,8.75,2.31,0.93,0.256,0.849,0.469,0.122,2.44,3.41,3.47,4.3,0
2014,Zack Greinke,Dodgers,17,8,32,32,202.1,9.21,1.91,0.85,0.311,0.797,0.487,0.119,2.71,2.97,2.72,4.3,0
2010,Hiroki Kuroda,Dodgers,11,13,31,31,196.1,7.29,2.2,0.69,0.283,0.689,0.511,0.08,3.39,3.26,3.43,4.3,0
2012,Wade Miley,Diamondbacks,15,11,29,29,186,6.87,1.6,0.63,0.299,0.715,0.424,0.066,3.34,3.04,3.7,4.3,0
2017,Jacob deGrom,Mets,15,10,31,31,201.1,10.68,2.64,1.25,0.305,0.763,0.453,0.161,3.53,3.5,3.23,4.3,0
2014,Cole Hamels,Phillies,9,9,30,30,204.2,8.71,2.59,0.62,0.295,0.819,0.464,0.082,2.46,3.07,3.21,4.3,0
2010,Tim Lincecum,Giants,16,10,33,33,212.1,9.79,3.22,0.76,0.31,0.765,0.489,0.099,3.43,3.15,3.09,4.3,0
2008,Chad Billingsley,Dodgers,16,10,32,32,196.1,9.03,3.62,0.64,0.311,0.779,0.496,0.085,3.16,3.38,3.56,4.3,0
2007,Chris Young,Padres,9,8,30,30,173,8.69,3.75,0.52,0.241,0.716,0.291,0.041,3.12,3.43,4.44,4.3,0
2010,Chad Billingsley,Dodgers,12,11,31,31,191.2,8.03,3.24,0.38,0.301,0.71,0.496,0.045,3.57,3.07,3.67,4.2,0
2013,A.J. Burnett,Pirates,10,11,30,30,191,9.85,3.16,0.52,0.305,0.718,0.565,0.091,3.3,2.8,2.92,4.2,0
2012,Adam Wainwright,Cardinals,14,13,32,32,198.2,8.34,2.36,0.68,0.315,0.678,0.508,0.099,3.94,3.1,3.23,4.1,0
2009,Wandy Rodriguez,Astros,14,12,33,33,205.2,8.45,2.76,0.92,0.302,0.794,0.449,0.099,3.02,3.54,3.57,4.1,0
2013,Homer Bailey,Reds,11,12,32,32,209,8.57,2.33,0.86,0.284,0.737,0.461,0.102,3.49,3.31,3.34,4.1,0
2007,Matt Cain,Giants,7,16,32,32,200,7.34,3.56,0.63,0.278,0.729,0.394,0.055,3.65,3.78,4.47,4.1,0
2010,Tommy Hanson,Braves,10,11,34,34,202.2,7.68,2.49,0.62,0.286,0.714,0.418,0.058,3.33,3.31,3.87,4.1,0
2013,Jose Fernandez,Marlins,12,6,28,28,172.2,9.75,3.02,0.52,0.24,0.794,0.451,0.071,2.19,2.73,3.08,4.1,0
2009,Ricky Nolasco,Marlins,13,9,31,31,185,9.49,2.14,1.12,0.317,0.61,0.383,0.11,5.06,3.35,3.23,4.1,0
2009,Jair Jurrjens,Braves,14,10,34,34,215,6.36,3.14,0.63,0.268,0.794,0.429,0.061,2.6,3.68,4.28,4,0
2011,Tim Lincecum,Giants,13,14,33,33,217,9.12,3.57,0.62,0.281,0.785,0.479,0.08,2.74,3.17,3.36,4,0
2014,Madison Bumgarner,Giants,18,10,33,33,217.1,9.07,1.78,0.87,0.296,0.758,0.444,0.1,2.98,3.05,2.99,4,0
2010,Matt Cain,Giants,13,11,33,33,223.1,7.13,2.46,0.89,0.252,0.753,0.362,0.074,3.14,3.65,4,4,0
2007,Cole Hamels,Phillies,15,5,28,28,183.1,8.69,2.11,1.23,0.279,0.787,0.419,0.128,3.39,3.83,3.4,3.9,0
2010,Brett Myers,Astros,14,8,33,33,223.2,7.24,2.66,0.8,0.288,0.763,0.487,0.085,3.14,3.56,3.67,3.9,0
2011,Zack Greinke,Brewers,16,6,28,28,171.2,10.54,2.36,1,0.318,0.698,0.473,0.136,3.83,2.98,2.56,3.9,0
2010,Anibal Sanchez,Marlins,13,12,32,32,195,7.25,3.23,0.46,0.305,0.706,0.451,0.045,3.55,3.32,4.04,3.9,0
2008,Ricky Nolasco,Marlins,15,8,32,32,206.2,8.06,1.79,1.22,0.273,0.752,0.385,0.109,3.61,3.79,3.66,3.9,0
2007,Greg Maddux,Padres,14,11,34,34,198,4.73,1.14,0.64,0.304,0.689,0.515,0.071,4.14,3.58,3.9,3.9,0
2013,Jhoulys Chacin,Rockies,14,10,31,31,197.1,5.75,2.78,0.5,0.288,0.719,0.468,0.062,3.47,3.47,3.97,3.9,0
2009,Cole Hamels,Phillies,10,11,32,32,193.2,7.81,2,1.12,0.317,0.721,0.404,0.107,4.32,3.72,3.63,3.9,0
2013,Madison Bumgarner,Giants,13,9,31,31,201.1,8.9,2.77,0.67,0.251,0.757,0.468,0.082,2.77,3.05,3.32,3.8,0
2008,Ubaldo Jimenez,Rockies,12,12,34,34,198.2,7.79,4.67,0.5,0.299,0.708,0.544,0.069,3.99,3.83,4.16,3.8,0
2011,Mat Latos,Padres,9,14,31,31,194.1,8.57,2.87,0.74,0.284,0.714,0.428,0.073,3.47,3.16,3.52,3.8,0
2008,Jair Jurrjens,Braves,13,10,31,31,188.1,6.64,3.35,0.53,0.301,0.71,0.517,0.071,3.68,3.59,3.92,3.8,0
2016,Jake Arrieta,Cubs,18,8,31,31,197.1,8.67,3.47,0.73,0.241,0.749,0.526,0.111,3.1,3.52,3.68,3.8,0
2017,Jeff Samardzija,Giants,9,15,32,32,207.2,8.88,1.39,1.3,0.303,0.675,0.415,0.138,4.42,3.61,3.6,3.8,0
2007,Ted Lilly,Cubs,15,8,34,34,207,7.57,2.39,1.22,0.261,0.741,0.337,0.097,3.83,4.16,4.16,3.8,0
2012,Matt Cain,Giants,16,5,32,32,219.1,7.92,2.09,0.86,0.259,0.79,0.374,0.084,2.79,3.4,3.82,3.7,0
2008,Randy Johnson,Diamondbacks,11,10,30,30,184,8.46,2.15,1.17,0.301,0.709,0.402,0.108,3.91,3.76,3.66,3.7,0
2007,Jeff Francis,Rockies,17,9,34,34,215.1,6.9,2.63,1.04,0.316,0.747,0.444,0.1,4.22,4.19,4.13,3.7,0
2007,Adam Wainwright,Cardinals,14,12,32,32,202,6.06,3.12,0.58,0.304,0.726,0.482,0.058,3.7,3.9,4.45,3.7,0
2015,Francisco Liriano,Pirates,12,7,31,31,186.2,9.88,3.38,0.72,0.293,0.742,0.512,0.117,3.38,3.19,3.16,3.7,0
2015,Gio Gonzalez,Nationals,11,8,31,31,175.2,8.66,3.54,0.41,0.341,0.721,0.538,0.059,3.79,3.05,3.59,3.7,0
2008,Roy Oswalt,Astros,17,10,32,32,208.2,7.12,2.03,0.99,0.285,0.746,0.503,0.127,3.54,3.8,3.51,3.7,0
2013,Jordan Zimmermann,Nationals,19,9,32,32,213.1,6.79,1.69,0.8,0.271,0.744,0.476,0.095,3.25,3.36,3.48,3.7,0
2013,Lance Lynn,Cardinals,15,10,33,33,201.2,8.84,3.39,0.62,0.314,0.718,0.431,0.074,3.97,3.28,3.66,3.7,0
2008,Matt Cain,Giants,8,14,34,34,217.2,7.69,3.76,0.79,0.297,0.753,0.332,0.069,3.76,3.91,4.45,3.7,0
2009,Ted Lilly,Cubs,12,9,27,27,177,7.68,1.83,1.12,0.261,0.778,0.319,0.087,3.1,3.65,3.91,3.7,0
2013,Hyun-Jin Ryu,Dodgers,14,8,30,30,192,7.22,2.3,0.7,0.296,0.782,0.506,0.087,3,3.24,3.46,3.6,0
2008,Jake Peavy,Padres,10,11,27,27,173.2,8.6,3.06,0.88,0.279,0.822,0.406,0.097,2.85,3.6,3.65,3.6,0
2012,Kyle Lohse,Cardinals,16,3,33,33,211,6.1,1.62,0.81,0.262,0.772,0.405,0.082,2.86,3.51,3.96,3.6,0
2015,John Lackey,Cardinals,13,10,33,33,218,7.22,2.19,0.87,0.295,0.826,0.46,0.098,2.77,3.57,3.77,3.6,0
